,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,RWwatchMA,Phony Constitutional Clauses; Emoluments 🆘😷🗽,245689692,911741588925239296,/RWwatchMA/status/911741588925239296,2017-09-23 23:58:28,1506211108,1,0,1,0,,,,.@Marty_Walsh has a knack for self promotion. He partnered with Jet Blue & Red Sox to get @BostonSchools students free Red Sox hats #bospolipic.twitter.com/tMGSW80FXV,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">.<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""77764733"" dir=""ltr"" href=""/marty_walsh""><s>@</s><b>Marty_Walsh</b></a> has a knack for self promotion. He partnered with <strong>Jet Blue</strong> &amp; Red Sox to get <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""101858228"" dir=""ltr"" href=""/BostonSchools""><s>@</s><b>BostonSchools</b></a> students free Red Sox hats <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bospoli?src=hash""><s>#</s><b>bospoli</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/tMGSW80FXV"">pic.twitter.com/tMGSW80FXV</a></p>"
1,cook4meplease,d 🏁,730432587043360769,911740766841647104,/cook4meplease/status/911740766841647104,2017-09-23 23:55:12,1506210912,0,0,1,0,,,,I really love the ppl who work for JetBlue so much,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I really love the ppl who work for <strong>JetBlue</strong> so much</p>"
2,mvp1007,Marisol Perez,400415702,911739740290011141,/mvp1007/status/911739740290011141,2017-09-23 23:51:08,1506210668,0,0,0,0,,,,Where are these flights? Been on phone with JetBlue rep for over an hour and they have nothing going anywhere? I’m being told airport closed,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Where are these flights? Been on phone with <strong>JetBlue</strong> rep for over an hour and they have nothing going anywhere? I’m being told airport closed</p>"
3,PapaSmurfUTE,They So POO POO,294171413,911738966923124737,/PapaSmurfUTE/status/911738966923124737,2017-09-23 23:48:03,1506210483,1,0,1,0,,,,Where the hell do you think your going young lady?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Where the hell do you think your going young lady?</p>"
4,JetBlue,JetBlue Airways,6449282,911738516375310337,/JetBlue/status/911738516375310337,2017-09-23 23:46:16,1506210376,0,0,1,0,,,,We like you too!  http://bit.ly/2wdFlNY ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">We like you too!  <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/2wdFlNY"" dir=""ltr"" href=""https://t.co/ECn7aVHuR4"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/2wdFlNY""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/2wdFlNY</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
5,Sadiepyne,Sadie Pyne,296915802,911738188267442176,/Sadiepyne/status/911738188267442176,2017-09-23 23:44:58,1506210298,2,0,16,0,,,,"Hey @JetBlue 
I like you. pic.twitter.com/0mw4fOlfd9","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Hey <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> 
I like you. <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/0mw4fOlfd9"">pic.twitter.com/0mw4fOlfd9</a></p>"
6,JetBlue,JetBlue Airways,6449282,911737580605132800,/JetBlue/status/911737580605132800,2017-09-23 23:42:33,1506210153,1,0,0,0,,,,It looks like they are for tomorrow and possibly the day after.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It looks like they are for tomorrow and possibly the day after.</p>"
7,ThomasW9393,Thomas Wolf,910606311477440512,911737365688930304,/ThomasW9393/status/911737365688930304,2017-09-23 23:41:41,1506210101,1,0,0,0,,,,"Thank you, what date are these for?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you, what date are these for?</p>"
8,TampaBaySRH,TampaBaySRH,375355504,911736247533502464,/TampaBaySRH/status/911736247533502464,2017-09-23 23:37:15,1506209835,0,0,0,0,,,,"#GoCity RT"" .@JetBlue wants to send you off on a trip for Fantember and with a new set of… http://srhlink.com/Pq1fZH  "" #SportsRoadhousepic.twitter.com/BmkqFrjIlY","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GoCity?src=hash""><s>#</s><b>GoCity</b></a> RT"" .<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> wants to send you off on a trip for Fantember and with a new set of… <a class=""twitter-timeline-link"" data-expanded-url=""http://srhlink.com/Pq1fZH"" dir=""ltr"" href=""https://t.co/XSSIYync2v"" rel=""nofollow noopener"" target=""_blank"" title=""http://srhlink.com/Pq1fZH""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">srhlink.com/Pq1fZH</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> "" <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SportsRoadhouse?src=hash""><s>#</s><b>SportsRoadhouse</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/BmkqFrjIlY"">pic.twitter.com/BmkqFrjIlY</a></p>"
9,ORLANDOCITYSRH,ORLANDO CITY SRH,2408375413,911736222703280128,/ORLANDOCITYSRH/status/911736222703280128,2017-09-23 23:37:09,1506209829,0,0,0,0,,,,"#GoCity RT"" .@JetBlue wants to send you off on a trip for Fantember and with a new set of… http://srhlink.com/Pq1fMn  ""#SportsRoadhousepic.twitter.com/1xj7Sf4HqR","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/GoCity?src=hash""><s>#</s><b>GoCity</b></a> RT"" .<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""6449282"" dir=""ltr"" href=""/JetBlue""><s>@</s><b><strong>JetBlue</strong></b></a> wants to send you off on a trip for Fantember and with a new set of… <a class=""twitter-timeline-link"" data-expanded-url=""http://srhlink.com/Pq1fMn"" dir=""ltr"" href=""https://t.co/mAHWIr13pz"" rel=""nofollow noopener"" target=""_blank"" title=""http://srhlink.com/Pq1fMn""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">srhlink.com/Pq1fMn</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> ""<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/SportsRoadhouse?src=hash""><s>#</s><b>SportsRoadhouse</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/1xj7Sf4HqR"">pic.twitter.com/1xj7Sf4HqR</a></p>"
