tweetID,TimeStamp,Text,Sentiment,Emphasis
4.22442E+17,2014-01-12 18:56,,0,0
,,,,
4.1853E+17,2014-01-01 23:51,,0,1.799999952
,,,,
4.18514E+17,2014-01-01 22:46,,0.200000003,1.200000048
,,,,
4.18511E+17,2014-01-01 22:37,,0,1.399999976
,,,,
4.1851E+17,2014-01-01 22:32,,-0.800000012,1.600000024
,,,,
4.18507E+17,2014-01-01 22:20,,-0.899999976,0.899999976
,,,,
4.185E+17,2014-01-01 21:53,,0.100000001,0.100000001
,,,,
4.18498E+17,2014-01-01 21:46,,0.5,1
,,,,
4.1849E+17,2014-01-01 21:14,,-0.600000024,0.600000024
,,,,
4.1849E+17,2014-01-01 21:13,,-0.400000006,0.800000012
,,,,
4.18479E+17,2014-01-01 20:27,,0,1.600000024
,,,,
4.18476E+17,2014-01-01 20:17,,-0.5,2.200000048
,,,,
4.18472E+17,2014-01-01 19:59,,0.100000001,0.200000003
,,,,
4.1847E+17,2014-01-01 19:54,,-0.100000001,1
,,,,
4.18468E+17,2014-01-01 19:44,,0,0.100000001
,,,,
4.18466E+17,2014-01-01 19:37,,0,0
,,,,
4.18459E+17,2014-01-01 19:08,,0.300000012,0.699999988
,,,,
4.18458E+17,2014-01-01 19:06,,0.200000003,1.200000048
,,,,
4.18447E+17,2014-01-01 18:20,,0,0.100000001
,,,,
4.18446E+17,2014-01-01 18:18,,-0.200000003,1.600000024
,,,,
4.18441E+17,2014-01-01 17:59,,-0.300000012,1.200000048
,,,,
4.21793E+17,2014-01-10 23:59,,-0.300000012,0.800000012
,,,,
4.21793E+17,2014-01-10 23:56,,0,0.300000012
,,,,
4.21792E+17,2014-01-10 23:55,,0.200000003,0.699999988
,,,,
4.21792E+17,2014-01-10 23:53,,-0.200000003,1
,,,,
4.21791E+17,2014-01-10 23:50,,-0.800000012,1.600000024
,,,,
4.21791E+17,2014-01-10 23:49,,0,0
,,,,
4.21782E+17,2014-01-10 23:12,,-0.5,1.100000024
,,,,
4.2177E+17,2014-01-10 22:24,,-0.5,1
,,,,
4.21765E+17,2014-01-10 22:07,,-0.300000012,1.799999952
,,,,
4.21765E+17,2014-01-10 22:06,,0.300000012,1
,,,,
4.21765E+17,2014-01-10 22:06,,0.300000012,1
,,,,
4.21765E+17,2014-01-10 22:06,,0,0.800000012
,,,,
4.21764E+17,2014-01-10 22:04,,0.100000001,0.5
,,,,
4.21764E+17,2014-01-10 22:03,,-0.400000006,0.899999976
,,,,
4.2176E+17,2014-01-10 21:45,,-0.100000001,0.100000001
,,,,
4.21757E+17,2014-01-10 21:35,,0,0.300000012
,,,,
4.21757E+17,2014-01-10 21:34,,-0.200000003,1
,,,,
4.21757E+17,2014-01-10 21:33,,0,0.100000001
,,,,
4.21754E+17,2014-01-10 21:22,,0,0
,,,,
4.21752E+17,2014-01-10 21:14,,0,1.899999976
,,,,
4.23965E+17,2014-01-16 23:47,,-0.100000001,0.5
,,,,
4.23961E+17,2014-01-16 23:31,,0.400000006,0.899999976
,,,,
4.23959E+17,2014-01-16 23:24,,-0.300000012,0.899999976
,,,,
4.23956E+17,2014-01-16 23:11,,-0.300000012,0.300000012
,,,,
4.23954E+17,2014-01-16 23:06,,0.800000012,0.800000012
,,,,
4.23951E+17,2014-01-16 22:51,,0.100000001,0.100000001
,,,,
4.2395E+17,2014-01-16 22:48,,-0.100000001,1.299999952
,,,,
4.2395E+17,2014-01-16 22:47,,0,1.600000024
,,,,
4.23945E+17,2014-01-16 22:29,,0,0
,,,,
4.23934E+17,2014-01-16 21:44,,-0.200000003,0.5
,,,,
4.23929E+17,2014-01-16 21:26,,-0.600000024,1.200000048
,,,,
4.23927E+17,2014-01-16 21:17,,0,1.700000048
,,,,
4.23927E+17,2014-01-16 21:16,,0.200000003,0.800000012
,,,,
4.23926E+17,2014-01-16 21:11,,0,0
,,,,
4.23911E+17,2014-01-16 20:13,,-0.300000012,1.600000024
,,,,
4.23906E+17,2014-01-16 19:55,,0.200000003,0.200000003
,,,,
4.23898E+17,2014-01-16 19:23,,0.100000001,1.600000024
,,,,
4.23883E+17,2014-01-16 18:24,,-0.899999976,0.899999976
,,,,
4.23876E+17,2014-01-16 17:55,,0,0
,,,,
4.23874E+17,2014-01-16 17:47,,0,0.100000001
,,,,
4.23603E+17,2014-01-15 23:50,,-0.200000003,1.200000048
,,,,
4.236E+17,2014-01-15 23:39,,0.100000001,0.100000001
,,,,
4.23597E+17,2014-01-15 23:27,,0,0.100000001
,,,,
4.23588E+17,2014-01-15 22:51,,-0.300000012,0.800000012
,,,,
4.23588E+17,2014-01-15 22:51,,0,0.400000006
,,,,
4.23586E+17,2014-01-15 22:40,,-0.5,1.100000024
,,,,
4.2358E+17,2014-01-15 22:20,,0,0.200000003
,,,,
4.23572E+17,2014-01-15 21:48,,-0.5,0.5
,,,,
4.23572E+17,2014-01-15 21:45,,0.100000001,0.100000001
,,,,
4.23569E+17,2014-01-15 21:34,,0.699999988,2.299999952
,,,,
4.23567E+17,2014-01-15 21:25,,0,0
,,,,
4.23566E+17,2014-01-15 21:22,,0.200000003,0.600000024
,,,,
4.23566E+17,2014-01-15 21:22,,0.200000003,0.600000024
,,,,
4.23565E+17,2014-01-15 21:20,,0.400000006,0.899999976
,,,,
4.23562E+17,2014-01-15 21:08,,-0.600000024,0.600000024
,,,,
