,username,fullname,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,replies,retweets,likes,is_retweet,retweeter_username,retweeter_userid,retweet_id,text,html
0,ArleneHache,"Hache Arlene, C.M.",25484552,638863866156462080,/ArleneHache/status/638863866156462080,2015-09-01 23:59:49,1441151989,0,0,0,0,,,,"Snow, wind and rain hammer N.W.T.'s Beaufort Delta http://fb.me/3kIycPu1e ","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Snow, wind and rain hammer N.W.T.'s Beaufort <strong>Delta</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/3kIycPu1e"" dir=""ltr"" href=""http://t.co/NGbB5NJC8w"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/3kIycPu1e""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/3kIycPu1e</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
1,Q102Delta,Q102,3064162966,638863815363436546,/Q102Delta/status/638863815363436546,2015-09-01 23:59:37,1441151977,0,0,0,0,,,,Meteorologist Tom Churchill - Q102 Delta Weather http://rdo.to/WIQQ  #nowplaying #listenlive,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Meteorologist Tom Churchill - Q102 <strong>Delta</strong> Weather <a class=""twitter-timeline-link"" data-expanded-url=""http://rdo.to/WIQQ"" dir=""ltr"" href=""http://t.co/J5gMbd61Ck"" rel=""nofollow noopener"" target=""_blank"" title=""http://rdo.to/WIQQ""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">rdo.to/WIQQ</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/nowplaying?src=hash""><s>#</s><b>nowplaying</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/listenlive?src=hash""><s>#</s><b>listenlive</b></a></p>"
2,aleonardo160,Abel Leonardo,2237308649,638863736862867456,/aleonardo160/status/638863736862867456,2015-09-01 23:59:19,1441151959,0,0,1,0,,,,Couldn't be more excited about the new members that went through Rush with Delta Sig beyond excited… https://instagram.com/p/7G3dGUvt-4/ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Couldn't be more excited about the new members that went through Rush with <strong>Delta</strong> Sig beyond excited… <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/7G3dGUvt-4/"" dir=""ltr"" href=""https://t.co/6FFpBmjxy1"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/7G3dGUvt-4/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/7G3dGUvt-4/</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
3,breakingnewsnig,breakingnews nigeria,361832401,638863684903636992,/breakingnewsnig/status/638863684903636992,2015-09-01 23:59:06,1441151946,0,0,1,0,,,,Shell to Train 150 Niger Delta Youths in Enterprise Devt http://dlvr.it/C2BbPz ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Shell to Train 150 Niger <strong>Delta</strong> Youths in Enterprise Devt <a class=""twitter-timeline-link"" data-expanded-url=""http://dlvr.it/C2BbPz"" dir=""ltr"" href=""http://t.co/P51VJw8tyZ"" rel=""nofollow noopener"" target=""_blank"" title=""http://dlvr.it/C2BbPz""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">dlvr.it/C2BbPz</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
4,ellamojica25,ellariveramojica ❤❤❤,3138896130,638863655526776832,/ellamojica25/status/638863655526776832,2015-09-01 23:58:59,1441151939,0,0,1,0,,,,stranded again on Delta.  need someone to rescue us.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">stranded again on <strong>Delta</strong>. <img alt=""😩"" aria-label=""Emoji: Weary face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f629.png"" title=""Weary face""/><img alt=""😩"" aria-label=""Emoji: Weary face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f629.png"" title=""Weary face""/><img alt=""😟"" aria-label=""Emoji: Worried face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f61f.png"" title=""Worried face""/><img alt=""😥"" aria-label=""Emoji: Disappointed but relieved face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f625.png"" title=""Disappointed but relieved face""/><img alt=""😥"" aria-label=""Emoji: Disappointed but relieved face"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f625.png"" title=""Disappointed but relieved face""/><img alt=""⛅"" aria-label=""Emoji: Sun behind cloud"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/26c5.png"" title=""Sun behind cloud""/><img alt=""⛅"" aria-label=""Emoji: Sun behind cloud"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/26c5.png"" title=""Sun behind cloud""/><img alt=""⛅"" aria-label=""Emoji: Sun behind cloud"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/26c5.png"" title=""Sun behind cloud""/><img alt=""⛅"" aria-label=""Emoji: Sun behind cloud"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/26c5.png"" title=""Sun behind cloud""/> need someone to rescue us.</p>"
5,thetravelspark,The Travel Spark,2457231284,638863605967011840,/thetravelspark/status/638863605967011840,2015-09-01 23:58:47,1441151927,0,0,0,0,,,,Breaking Fare Sale from Delta is Selling Tickets to Asia for as Low as $628 Round Trip - Hopper http://fb.me/824pL9a09 ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Breaking Fare Sale from <strong>Delta</strong> is Selling Tickets to Asia for as Low as $628 Round Trip - Hopper <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/824pL9a09"" dir=""ltr"" href=""http://t.co/C19rmVxWsO"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/824pL9a09""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/824pL9a09</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
6,CCBDeal,Cool CashBack Deal,2909209113,638863470822211584,/CCBDeal/status/638863470822211584,2015-09-01 23:58:15,1441151895,0,0,0,0,,,,"Cheap Fares To Florida and CA, Delta Tries Really Hard To Tell The Truth and Hyatt 48 Lex,… http://coolcashbackdeal.com/cheap-fares-to-florida-and-ca-delta-tries-really-hard-to-tell-the-truth-and-hyatt-48-lex-gone-best-of-the-rest-for-september-1-2015september-01-2015-at-0710pm/ …pic.twitter.com/SYcmFHM5Y9","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Cheap Fares To Florida and CA, <strong>Delta</strong> Tries Really Hard To Tell The Truth and Hyatt 48 Lex,… <a class=""twitter-timeline-link"" data-expanded-url=""http://coolcashbackdeal.com/cheap-fares-to-florida-and-ca-delta-tries-really-hard-to-tell-the-truth-and-hyatt-48-lex-gone-best-of-the-rest-for-september-1-2015september-01-2015-at-0710pm/"" dir=""ltr"" href=""http://t.co/6L7EdzdmgF"" rel=""nofollow noopener"" target=""_blank"" title=""http://coolcashbackdeal.com/cheap-fares-to-florida-and-ca-delta-tries-really-hard-to-tell-the-truth-and-hyatt-48-lex-gone-best-of-the-rest-for-september-1-2015september-01-2015-at-0710pm/""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">coolcashbackdeal.com/cheap-fares-to</span><span class=""invisible"">-florida-and-ca-delta-tries-really-hard-to-tell-the-truth-and-hyatt-48-lex-gone-best-of-the-rest-for-september-1-2015september-01-2015-at-0710pm/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/SYcmFHM5Y9"">pic.twitter.com/SYcmFHM5Y9</a></p>"
7,gowhiskr,Whiskr,756129644,638863420025081858,/gowhiskr/status/638863420025081858,2015-09-01 23:58:03,1441151883,0,0,0,0,,,,New York to Moscow on Delta Air Lines for $401 #CheapFlights #JFK http://bit.ly/1KnxjHi ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">New York to Moscow on <strong>Delta Air</strong> Lines for $401 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/CheapFlights?src=hash""><s>#</s><b>CheapFlights</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JFK?src=hash""><s>#</s><b>JFK</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1KnxjHi"" dir=""ltr"" href=""http://t.co/df014L57ka"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1KnxjHi""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1KnxjHi</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>"
8,AceofSpadesHQ,"Ursus, Director of Weather and Banana Programming",30694631,638863388681076736,/AceofSpadesHQ/status/638863388681076736,2015-09-01 23:57:56,1441151876,0,0,0,0,,,,@Delta_Smelt yup.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""388909958"" dir=""ltr"" href=""/Delta_Smelt""><s>@</s><b><strong>Delta</strong>_Smelt</b></a> yup.</p>"
9,jamilataylor,Mila,69487759,638863267851538432,/jamilataylor/status/638863267851538432,2015-09-01 23:57:27,1441151847,0,0,0,0,,,,Delta Blue Jays Game #vip #boxlife #soco #coworkers #bitchyoujealous https://instagram.com/p/7G3PhxR05e9Bfy8Jt5NwOvhsEZjhDwCw27JXg0/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Delta</strong> Blue Jays Game<img alt=""💙"" aria-label=""Emoji: Blue heart"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f499.png"" title=""Blue heart""/><img alt=""🎉"" aria-label=""Emoji: Party popper"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f389.png"" title=""Party popper""/> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/vip?src=hash""><s>#</s><b>vip</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/boxlife?src=hash""><s>#</s><b>boxlife</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/soco?src=hash""><s>#</s><b>soco</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coworkers?src=hash""><s>#</s><b>coworkers</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/bitchyoujealous?src=hash""><s>#</s><b>bitchyoujealous</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://instagram.com/p/7G3PhxR05e9Bfy8Jt5NwOvhsEZjhDwCw27JXg0/"" dir=""ltr"" href=""https://t.co/lBoJEdOiXb"" rel=""nofollow noopener"" target=""_blank"" title=""https://instagram.com/p/7G3PhxR05e9Bfy8Jt5NwOvhsEZjhDwCw27JXg0/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">instagram.com/p/7G3PhxR05e9B</span><span class=""invisible"">fy8Jt5NwOvhsEZjhDwCw27JXg0/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>"
